product_id,product_name,brand,category,price,cost,stock_quantity,created_at,updated_at
1,Premium Laptop,Premium,Electronics,848,519.97,142,2022-04-09T00:00:00,2022-07-06T00:00:00
2,ValueCo Laptop,ValueCo,Electronics,589,270.33,188,2020-08-13T00:00:00,2020-10-18T00:00:00
3,ModernLine Laptop,ModernLine,Electronics,1484,571.73,109,2023-03-01T00:00:00,2023-04-30T00:00:00
4,ClassicMake Phone,ClassicMake,Electronics,562,245.35,75,2021-08-17T00:00:00,2021-08-27T00:00:00
5,ValueCo Phone,ValueCo,Electronics,272,100.35,74,2023-07-13T00:00:00,2023-10-17T00:00:00
6,ModernLine Phone,ModernLine,Electronics,1233,743.21,270,2020-11-14T00:00:00,2021-01-24T00:00:00
7,ValueCo Tablet,ValueCo,Electronics,154,93.83,452,2023-12-19T00:00:00,2024-03-23T00:00:00
8,TechFirst Tablet,TechFirst,Electronics,467,231.01,95,2020-01-26T00:00:00,2020-03-11T00:00:00
9,ValueCo Tablet,ValueCo,Electronics,1172,514.09,117,2022-08-26T00:00:00,2022-10-19T00:00:00
10,Premium Headphones,Premium,Electronics,412,201.14,53,2022-03-12T00:00:00,2022-04-28T00:00:00
11,ClassicMake Smartwatch,ClassicMake,Electronics,232,161.85,75,2021-09-17T00:00:00,2021-09-17T00:00:00
12,TechFirst Smartwatch,TechFirst,Electronics,1176,410.89,79,2020-02-04T00:00:00,2020-02-21T00:00:00
13,ModernLine Camera,ModernLine,Electronics,280,123.88,461,2021-05-15T00:00:00,2021-08-15T00:00:00
14,ValueCo Camera,ValueCo,Electronics,1019,596.11,182,2022-06-03T00:00:00,2022-08-17T00:00:00
15,ProBrand Camera,ProBrand,Electronics,405,197.52,377,2020-01-27T00:00:00,2020-03-19T00:00:00
16,ModernLine Speaker,ModernLine,Electronics,434,132.7,102,2021-04-10T00:00:00,2021-05-11T00:00:00
17,ProBrand Speaker,ProBrand,Electronics,537,283.1,39,2021-07-10T00:00:00,2021-09-30T00:00:00
18,ProBrand Speaker,,Electronics,1137,470.61,425,2023-12-29T00:00:00,2024-01-12T00:00:00
19,ValueCo T-Shirt,ValueCo,Clothing,191,102.35,92,2020-06-14T00:00:00,2020-08-02T00:00:00
20,ProBrand T-Shirt,ProBrand,Clothing,188,113.84,374,2021-12-01T00:00:00,2022-01-08T00:00:00
